"padj","gene","symbol","rank","rank_change"
4.68513260513357e-12,"ENSG00000099949","LZTR1",310,6774
4.78678123355556e-12,"ENSG00000181722","ZBTB20",311,-52
5.11909305813215e-12,"ENSG00000218227","AC136632.1",312,NA
5.21825100739262e-12,"ENSG00000184481","FOXO4",313,-191
5.95658868538493e-12,"ENSG00000132376","INPP5K",314,-213
6.06010273396542e-12,"ENSG00000010404","IDS",315,26308
6.19749459979702e-12,"ENSG00000144792","ZNF660",316,-172
6.45361860961823e-12,"ENSG00000265142","MIR133A1HG",317,77
6.68065085024731e-12,"ENSG00000131503","ANKHD1",318,9357
6.89357027142333e-12,"ENSG00000169682","SPNS1",319,28410
7.14067558056507e-12,"ENSG00000236977","ANKRD44-IT1",320,954
7.45094933823665e-12,"ENSG00000131669","NINJ1",321,-163
7.45094933823665e-12,"ENSG00000204427","ABHD16A",322,43340
7.49936196226429e-12,"ENSG00000255455","AP003486.1",323,NA
8.22817506174594e-12,"ENSG00000265713","AC023389.2",324,-54
9.28906518715196e-12,"ENSG00000105409","ATP1A3",325,4727
9.36823784432074e-12,"ENSG00000197893","NRAP",326,-282
9.38590046446513e-12,"ENSG00000174021","GNG5",327,16355
9.48844126935812e-12,"ENSG00000243725","TTC4",328,7338
9.62865456411128e-12,"ENSG00000170092","SPDYE5",329,375
1.13028752414993e-11,"ENSG00000112303","VNN2",330,-124
1.17909893769258e-11,"ENSG00000230733","AC092171.2",331,NA
1.20901567518547e-11,"ENSG00000160570","DEDD2",332,-114
1.34593467233326e-11,"ENSG00000175322","ZNF519",333,158
1.35460444649552e-11,"ENSG00000152104","PTPN14",334,-6
1.39986860930583e-11,"ENSG00000164512","ANKRD55",335,-84
1.41889961759573e-11,"ENSG00000164707","SLC13A4",336,6225
1.48586742671515e-11,"ENSG00000197714","ZNF460",337,-154
1.48586742671515e-11,"ENSG00000243646","IL10RB",338,14560
1.56285773524548e-11,"ENSG00000126264","HCST",339,8164
1.56285773524548e-11,"ENSG00000171552","BCL2L1",340,-139
1.56285773524548e-11,"ENSG00000250802","ZBED3-AS1",341,-120
1.63312634808639e-11,"ENSG00000167671","UBXN6",342,-165
1.63312634808639e-11,"ENSG00000168000","BSCL2",343,13886
1.71388790477648e-11,"ENSG00000180644","PRF1",344,-155
1.72845206901956e-11,"ENSG00000169180","XPO6",345,-185
1.77174463740688e-11,"ENSG00000196497","IPO4",346,6300
1.77174463740688e-11,"ENSG00000253720","AC022973.3",347,2814
1.82504038314125e-11,"ENSG00000272821","U62317.1",348,NA
1.82909770226956e-11,"ENSG00000279541","AC005261.5",349,174
1.84531287411773e-11,"ENSG00000123349","PFDN5",350,13458
1.8987078599561e-11,"ENSG00000234925","ATP5PDP4",351,320
1.94522719777639e-11,"ENSG00000167083","GNGT2",352,-98
2.00481128623121e-11,"ENSG00000255398","HCAR3",353,-168
2.02950996328765e-11,"ENSG00000116641","DOCK7",354,-203
2.02950996328765e-11,"ENSG00000244734","HBB",355,-138
2.08912305870913e-11,"ENSG00000125498","KIR2DL1",356,-112
2.24563961145492e-11,"ENSG00000154553","PDLIM3",357,-262
2.26795580145734e-11,"ENSG00000271383","NBPF19",358,5286
2.27025512765796e-11,"ENSG00000146263","MMS22L",359,-149
2.31407025424766e-11,"ENSG00000111490","TBC1D30",360,5069
2.4264254036036e-11,"ENSG00000090554","FLT3LG",361,13660
2.43628524351152e-11,"ENSG00000145194","ECE2",362,21979
2.43985608612582e-11,"ENSG00000130066","SAT1",363,-182
2.49695921203879e-11,"ENSG00000260461","AL133355.1",364,18614
2.65892435009137e-11,"ENSG00000241553","ARPC4",365,363
