"padj","gene","symbol","rank","rank_change"
4.74225117885797e-09,"ENSG00000286153","AP000331.1",323,NA
4.82602808600239e-09,"ENSG00000149923","PPP4C",324,712
5.38060703456902e-09,"ENSG00000160410","SHKBP1",325,601
5.56091798655723e-09,"ENSG00000185739","SRL",326,1394
5.59225231692668e-09,"ENSG00000233750","CICP27",327,1826
5.63301705549349e-09,"ENSG00000152104","PTPN14",328,6
5.68133283440514e-09,"ENSG00000214300","SPDYE3",329,1353
5.95558353962299e-09,"ENSG00000092010","PSME1",330,279
5.95558353962299e-09,"ENSG00000137812","KNL1",331,273
5.95558353962299e-09,"ENSG00000279814","AC010997.6",332,72
6.07219296716197e-09,"ENSG00000152580","IGSF10",333,405
6.10633707864467e-09,"ENSG00000196544","BORCS6",334,106
6.1198131115889e-09,"ENSG00000184937","WT1",335,31
6.12902442525416e-09,"ENSG00000123473","STIL",336,55
6.46423621404569e-09,"ENSG00000162601","MYSM1",337,433
6.51940820285075e-09,"ENSG00000214253","FIS1",338,352
6.55630773295989e-09,"ENSG00000249593","AC011405.1",339,-134
6.81737916771775e-09,"ENSG00000172331","BPGM",340,248
6.82026767823978e-09,"ENSG00000140379","BCL2A1",341,307
6.82026767823978e-09,"ENSG00000197324","LRP10",342,205
6.95348941338503e-09,"ENSG00000177105","RHOG",343,198
7.02935049535731e-09,"ENSG00000117594","HSD11B1",344,134
7.1180016798151e-09,"ENSG00000176055","MBLAC2",345,383
7.3505477342236e-09,"ENSG00000101752","MIB1",346,380
7.39825049054699e-09,"ENSG00000095794","CREM",347,378
7.45006948059047e-09,"ENSG00000130600","H19",348,253
7.54274514637298e-09,"ENSG00000185650","ZFP36L1",349,273
7.54274514637298e-09,"ENSG00000204177","BMS1P1",350,754
7.79246912549514e-09,"ENSG00000068323","TFE3",351,346
7.84736201545855e-09,"ENSG00000126353","CCR7",352,248
7.99140509308785e-09,"ENSG00000268362","AC092279.1",353,-72
8.1167703076164e-09,"ENSG00000204525","HLA-C",354,389
8.3566225519498e-09,"ENSG00000013364","MVP",355,199
8.40083368793777e-09,"ENSG00000182885","ADGRG3",356,249
8.45767633133551e-09,"ENSG00000162191","UBXN1",357,528
8.54408310323251e-09,"ENSG00000139970","RTN1",358,1058
8.64367071709735e-09,"ENSG00000089682","RBM41",359,219
8.74571300478103e-09,"ENSG00000128050","PAICS",360,347
8.74571300478103e-09,"ENSG00000235740","PHACTR2-AS1",361,49
8.76938180255612e-09,"ENSG00000084070","SMAP2",362,298
9.1793529235188e-09,"ENSG00000184281","TSSC4",363,351
9.1914602491132e-09,"ENSG00000123838","C4BPA",364,281
9.2250288785286e-09,"ENSG00000138778","CENPE",365,226
9.24914178138921e-09,"ENSG00000231412","AC005392.2",366,806
9.52475447199747e-09,"ENSG00000171916","LGALS9C",367,467
9.57752878797904e-09,"ENSG00000197540","GZMM",368,306
9.60609431496017e-09,"ENSG00000226210","WASH8P",369,606
9.69213883170542e-09,"ENSG00000203668","CHML",370,765
9.82087885252772e-09,"ENSG00000101460","MAP1LC3A",371,488
9.82087885252772e-09,"ENSG00000167565","SERTAD3",372,241
9.82087885252772e-09,"ENSG00000170891","CYTL1",373,307
9.82087885252772e-09,"ENSG00000286616","AL008730.1",374,NA
9.85621142935962e-09,"ENSG00000141526","SLC16A3",375,325
1.00718363184476e-08,"ENSG00000059804","SLC2A3",376,282
1.00781021760475e-08,"ENSG00000152990","ADGRA3",377,6
1.01382466041442e-08,"ENSG00000196549","MME",378,183
1.03907869090619e-08,"ENSG00000054356","PTPRN",379,677
1.06088992052998e-08,"ENSG00000151131","C12orf45",380,485
1.07635534174669e-08,"ENSG00000226564","FTH1P20",381,2084
1.07768397011935e-08,"ENSG00000142669","SH3BGRL3",382,85
1.08899605904406e-08,"ENSG00000127920","GNG11",383,189
1.09212486962284e-08,"ENSG00000229140","CCDC26",384,64
1.10185006415057e-08,"ENSG00000219200","RNASEK",385,-379
1.1301567390909e-08,"ENSG00000163735","CXCL5",386,424
1.1301567390909e-08,"ENSG00000213468","FIRRE",387,-222
1.13602877292636e-08,"ENSG00000036549","ZZZ3",388,559
1.15457024400293e-08,"ENSG00000198736","MSRB1",389,237
1.16520066551369e-08,"ENSG00000101003","GINS1",390,2913
1.16520066551369e-08,"ENSG00000129657","SEC14L1",391,304
1.16758550785388e-08,"ENSG00000155850","SLC26A2",392,639
1.17873615775969e-08,"ENSG00000160588","MPZL3",393,225
1.17873615775969e-08,"ENSG00000265142","MIR133A1HG",394,-77
1.25986148734684e-08,"ENSG00000238741","SCARNA7",395,52
1.27327945186807e-08,"ENSG00000282508","LINC01002",396,560
1.2947097815664e-08,"ENSG00000163915","IGF2BP2-AS1",397,252
1.30150963061507e-08,"ENSG00000286545","AC092645.2",398,NA
1.31187191203898e-08,"ENSG00000250903","GMDS-DT",399,-115
1.32969806385994e-08,"ENSG00000094916","CBX5",400,776
1.34978752977208e-08,"ENSG00000179299","NSUN7",401,276
1.34978752977208e-08,"ENSG00000287195","AC131568.1",402,NA
1.35970162884857e-08,"ENSG00000283208","AC001226.2",403,NA
1.36158119372647e-08,"ENSG00000229644","NAMPTP1",404,643
1.38608829006422e-08,"ENSG00000185760","KCNQ5",405,848
1.4153561797134e-08,"ENSG00000109805","NCAPG",406,180
